Time,X,Y,Z,Roll,Pitch,Yaw
8753.967,-0.379,2.738,0.235,-0.0,0.0,0.825
8754.967,-0.039,3.105,0.235,0.0,0.0,0.825
8755.967,0.137,3.311,0.235,-0.0,0.002,0.442
8756.967,0.141,3.336,0.235,-0.0,0.001,-0.467
8757.968,0.218,3.225,0.235,-0.0,-0.004,-1.106
8758.967,0.444,2.777,0.235,-0.0,0.002,-1.106
8759.967,0.669,2.331,0.235,-0.0,0.0,-1.105
8760.967,0.893,1.885,0.235,-0.0,0.0,-1.105
8761.967,1.117,1.438,0.235,-0.0,0.0,-1.105
8762.967,1.117,1.438,0.235,-0.0,0.0,-1.105
8763.967,1.237,1.15,0.235,0.0,-0.001,-0.585
8764.967,1.405,0.914,0.235,-0.0,0.003,-0.994
8765.967,1.678,0.494,0.235,-0.0,0.0,-0.995
8766.967,1.95,0.075,0.235,-0.0,-0.0,-0.995
8767.968,2.221,-0.344,0.235,-0.0,0.0,-0.996
8768.967,2.397,-0.608,0.235,-0.0,-0.002,-1.285
8769.967,2.401,-0.647,0.235,-0.0,-0.009,-2.19
8770.967,2.104,-1.052,0.235,-0.0,0.004,-2.206
8771.967,1.808,-1.454,0.235,-0.0,-0.001,-2.205
8772.967,1.511,-1.857,0.235,0.0,-0.0,-2.205
8773.967,1.215,-2.259,0.235,-0.0,0.0,-2.205
8774.967,0.92,-2.661,0.235,-0.0,-0.0,-2.206
8775.967,0.623,-3.063,0.235,-0.0,-0.0,-2.205
8776.967,0.381,-3.398,0.235,-0.0,-0.004,-2.309
8777.967,0.382,-3.428,0.235,-0.0,0.002,3.043
8778.967,-0.091,-3.332,0.235,-0.0,-0.005,2.939
8779.967,-0.226,-3.282,0.236,-0.0,-0.043,2.299
8780.967,-0.39,-3.108,0.238,-0.0,0.033,1.816
8781.967,-0.332,-2.834,0.235,0.0,0.002,1.334
8782.967,-0.215,-2.349,0.235,-0.0,0.004,1.334
8783.967,-0.253,-2.211,0.235,-0.0,0.003,1.95
