Time,X,Y,Z,Roll,Pitch,Yaw
8758.967,0.448,2.776,0.236,-1.57,0.0,-2.677
8759.967,0.671,2.329,0.235,-1.571,0.0,-2.677
8760.967,0.896,1.882,0.235,-1.571,0.0,-2.677
8761.967,1.12,1.436,0.235,-1.571,0.0,-2.677
8762.967,1.247,1.153,0.235,-1.568,0.0,-2.391
8763.967,1.239,1.148,0.235,-1.572,-0.0,-2.158
8764.967,1.407,0.913,0.235,-1.574,-0.0,-2.566
8765.967,1.677,0.494,0.235,-1.571,0.0,-2.567
8766.967,1.949,0.075,0.235,-1.571,0.0,-2.567
8767.968,2.221,-0.344,0.235,-1.571,0.0,-2.567
8768.967,2.398,-0.609,0.235,-1.569,0.0,-2.856
8769.967,2.403,-0.648,0.235,-1.559,0.001,2.522
8770.967,2.105,-1.052,0.237,-1.568,-0.0,2.506
8771.967,1.808,-1.453,0.236,-1.567,-0.0,2.507
8772.967,1.511,-1.855,0.235,-1.571,0.0,2.507
8773.967,1.215,-2.258,0.235,-1.571,0.0,2.507
8774.967,0.918,-2.661,0.235,-1.571,0.0,2.507
8775.967,0.622,-3.063,0.235,-1.571,-0.0,2.507
8776.967,0.38,-3.4,0.235,-1.566,-0.0,2.404
8777.967,0.381,-3.427,0.235,-1.571,0.001,1.472
8778.967,-0.094,-3.332,0.233,-1.573,-0.0,1.368
8779.967,-0.23,-3.283,0.235,-1.531,-0.001,0.728
8780.967,-0.386,-3.113,0.235,-1.568,0.019,0.245
8781.967,-0.332,-2.835,0.235,-1.572,0.0,-0.237
8782.967,-0.216,-2.35,0.235,-1.574,-0.0,-0.237
8783.967,-0.253,-2.211,0.236,-1.565,-0.003,0.379
8784.967,-0.321,-1.983,0.235,-1.536,0.007,-0.134
8785.968,-0.251,-1.478,0.23,-1.599,-0.0,-0.139
8786.967,-0.184,-0.986,0.238,-1.561,-0.0,-0.139
8787.967,-0.114,-0.492,0.237,-1.559,-0.0,-0.139
8788.967,-0.044,0.004,0.235,-1.572,-0.0,-0.139
8789.967,-0.044,0.016,0.235,-1.571,-0.0,-0.139
8790.967,-0.044,0.016,0.235,-1.571,-0.0,-0.14
8791.967,-0.044,0.016,0.235,-1.571,-0.0,-0.14
8792.967,-0.044,0.016,0.235,-1.571,-0.0,-0.14
8793.967,-0.044,0.016,0.235,-1.571,-0.0,-0.14
8794.967,-0.044,0.016,0.235,-1.571,-0.0,-0.14
8795.968,-0.044,0.016,0.235,-1.571,-0.0,-0.14
8796.968,-0.044,0.016,0.235,-1.571,-0.0,-0.14
8797.967,-0.044,0.016,0.235,-1.571,-0.0,-0.14
